,City/Town,Country/Territory,Notes
101,Jerusalem,Israel,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Most countries currently maintain their embassies in and around Tel Aviv. The United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem have international status, as called for in the 1947 Partition Plan.[4]"
102,Jerusalem,Palestine,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Most countries currently maintain their embassies in and around Tel Aviv. The United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem have international status, as called for in the 1947 Partition Plan.[4]"
103,Ramallah (de facto),Palestine,"The Jerusalem Law states that ""Jerusalem, complete and united, is the capital of Israel"" and the city serves as the seat of the Israeli government and its institutions. United Nations Security Council Resolution 478 declared the Jerusalem Law ""null and void"" and called on member states to withdraw their diplomatic missions from Jerusalem. Most countries currently maintain their embassies in and around Tel Aviv. The United States recognized Jerusalem as the capital and moved its embassy there in May 2018.[3] Many countries officially adhere to the proposal that Jerusalem have international status, as called for in the 1947 Partition Plan.[4]"
104,Juba,South Sudan,
105,Kabul,Afghanistan,
106,Kampala,Uganda,
107,Kathmandu,Nepal,
108,Khartoum,Sudan,
109,Kigali,Rwanda,
110,King Edward Point,South Georgia and the South Sandwich Islands,British Overseas Territory.
111,Kingston,Jamaica,
112,Kingston,Norfolk Island,External territory of Australia.
113,Kingstown,Saint Vincent and the Grenadines,
114,Kinshasa,Democratic Republic of the Congo,
115,"Kuala Lumpur (de jure, legislative and royal)",Malaysia,
116,Putrajaya (administrative and judicial),Malaysia,
117,Kuwait City,Kuwait,
118,Kyiv,Ukraine,
119,La Paz (administrative),Bolivia,"La Paz is the highest administrative capital (3,650 m) in the world, higher than Quito.[5]"
120,Sucre (constitutional),Bolivia,
121,Laayoune (declared),Western Sahara,"The Sahrawi Arab Democratic Republic (SADR), recognized by 84 UN member states and South Ossetia, claims the mostly Moroccan-controlled Western Sahara. Moroccan-controlled territory includes Laayoune, and Morocco claims all Sahrawi-controlled territory. Tifariti is the current temporary capital of the SADR (formerly Bir Lehlou). Some government and military structures reside in exile in Tindouf, Algeria.[6] See Also: Politics of the Sahrawi Arab Democratic Republic."
122,Tifariti (de facto),Western Sahara,"The Sahrawi Arab Democratic Republic (SADR), recognized by 84 UN member states and South Ossetia, claims the mostly Moroccan-controlled Western Sahara. Moroccan-controlled territory includes Laayoune, and Morocco claims all Sahrawi-controlled territory. Tifariti is the current temporary capital of the SADR (formerly Bir Lehlou). Some government and military structures reside in exile in Tindouf, Algeria.[6] See Also: Politics of the Sahrawi Arab Democratic Republic."
123,Libreville,Gabon,
124,Lilongwe,Malawi,
125,Lima,Peru,"Cusco is declared the ""historical capital"" (Spanish: capital histórica), a merely symbolic statement, by Article 49 of the Peruvian Constitution. Arequipa is dubbed the ""legal capital"" of Peru for being the seat of the Constitutional Court."
126,Lisbon,Portugal,
127,Ljubljana,Slovenia,
128,Lobamba (royal and legislative),Eswatini,
129,Mbabane (administrative),Eswatini,
130,Lomé,Togo,
131,London,United Kingdom,"Prior to the Acts of Union in 1707, London was the capital of England only; Edinburgh was the capital of the Kingdom of Scotland. The United Kingdom also includes the subdivisions of England (capital London), Scotland (capital Edinburgh), Wales (capital Cardiff), Northern Ireland (capital Belfast)."
132,London (administration),British Indian Ocean Territory,"British Overseas Territory. Officially, the British Indian Ocean Territory is administered from London,[7] though some consider the capital to be Diego Garcia.[8]"
133,Diego Garcia (de facto),British Indian Ocean Territory,"British Overseas Territory. Officially, the British Indian Ocean Territory is administered from London,[7] though some consider the capital to be Diego Garcia.[8]"
134,Luanda,Angola,
135,Lusaka,Zambia,
136,Luxembourg,Luxembourg,
137,Madrid,Spain,
138,Majuro,Marshall Islands,"Self-governing in free association with the United States. The seat of government is at Delap-Uliga-Djarrit, a settlement on the atoll of Majuro."
139,Malabo,Equatorial Guinea,Ciudad de la Paz is currently under construction and will become the new capital when complete.[9]
140,Malé,Maldives,
141,Managua,Nicaragua,
142,Manama,Bahrain,
143,Manila,Philippines,
144,Maputo,Mozambique,
145,Mariehamn,Åland Islands,Autonomous region of Finland.
146,Marigot,Saint Martin,Overseas collectivity of France.
147,Maseru,Lesotho,
148,Mata Utu,Wallis and Futuna,Overseas collectivity of France.
149,Mexico City,Mexico,
150,Minsk,Belarus,
151,Mogadishu,Somalia,
152,Monaco,Monaco,"City-state. Monaco does not have an official capital designated in its constitution; however, the Commune of Monaco, the country's only commune, is coterminous with the nation, making it the de facto capital.[10][11]"
153,Monrovia,Liberia,
154,Montevideo,Uruguay,
155,Moroni,Comoros,
156,Moscow,Russia,
157,Muscat,Oman,
158,Nairobi,Kenya,
159,Nassau,"Bahamas, The",
160,Naypyidaw,Myanmar,Yangon was the capital until 2006.[12] See also: List of capitals of Myanmar.
161,N'Djamena,Chad,
162,New Delhi,India,Kolkata was the capital of India until 1911 during the British Raj.
163,Ngerulmud,Palau,Self-governing in free association with the United States. Koror City was the capital of Palau until 2006.
164,Niamey,Niger,
165,Nicosia,Cyprus,"Nicosia is a divided capital, split between Cyprus, which claims the whole city, and the internationally unrecognized breakaway state of Northern Cyprus."
166,Nicosia,Northern Cyprus,"Nicosia is a divided capital, split between Cyprus, which claims the whole city, and the internationally unrecognized breakaway state of Northern Cyprus."
167,Nouakchott,Mauritania,
168,Nouméa,New Caledonia,Overseas territory of France.
169,Nukuʻalofa,Tonga,
170,Nuuk,Greenland,Self-governing country within the Kingdom of Denmark.
171,Oranjestad,Aruba,Self-governing country within the Kingdom of the Netherlands.
172,Oslo,Norway,See also: List of historical capitals of Norway.
173,Ottawa,Canada,
174,Ouagadougou,Burkina Faso,
175,Pago Pago,American Samoa,Territory of the United States.
176,Palikir,Micronesia,"Self-governing in free association with the United States. Kolonia is the former capital; and Australia, China, Japan and the United States retain embassies there."
177,Panama City,Panama,
178,Papeete,French Polynesia,Overseas collectivity of France.
179,Paramaribo,Suriname,
180,Paris,France,See also: List of Capitals of France.
181,Philipsburg,Sint Maarten,Self-governing country within the Kingdom of the Netherlands.
182,Phnom Penh,Cambodia,
183,Podgorica,Montenegro,"Cetinje has been designated the ""Old Royal Capital"" and is the present seat of the President."
184,Port Louis,Mauritius,
185,Port Moresby,Papua New Guinea,
186,Port of Spain,Trinidad and Tobago,
187,Port Vila,Vanuatu,
188,Port-au-Prince,Haiti,
189,Prague,Czech Republic,The Supreme Court of the Czech Republic is located in Brno.[13]
190,Praia,Cape Verde,
191,Pristina,Kosovo,"De facto independent state that is recognized by 114 UN member states, Taiwan, the Cook Islands and Niue.. Claimed in whole by Serbia as part of its Autonomous Province of Kosovo and Metohija. Kosovo has de facto control over most of the territory, with limited control in North Kosovo."
192,Pyongyang,North Korea,
193,Quito,Ecuador,"Highest official capital (2,850 m).[5]"
194,Rabat,Morocco,
195,Reykjavík,Iceland,
196,Riga,Latvia,
197,Riyadh,Saudi Arabia,
198,Road Town,British Virgin Islands,British Overseas Territory.
199,Rome,Italy,
200,Roseau,Dominica,
201,Rothera,British Antarctic Territory,British Overseas Territory.
202,Saipan,Northern Mariana Islands,"Territory of the United States. The seat of government is at Capitol Hill, a settlement on the island of Saipan."
203,San José,Costa Rica,
204,San Juan,Puerto Rico,Territory of the United States.
205,San Marino,San Marino,
206,San Salvador,El Salvador,
207,Santiago,Chile,The National Congress of Chile is located in Valparaíso.
208,Santo Domingo,Dominican Republic,
209,São Tomé,São Tomé and Príncipe,
210,Sarajevo,Bosnia and Herzegovina,
211,Seoul,South Korea,"On 2 July 2012, some functions of government moved to Sejong City, which became the de facto administrative capital of South Korea."
212,Singapore,Singapore,City-state.
213,Skopje,North Macedonia,
214,Sofia,Bulgaria,
215,South Tarawa,Kiribati,South Tarawa is a settlement on the atoll of Tarawa.
216,St. George's,Grenada,
217,St. Helier,Jersey,British Crown Dependency.
218,St. John's,Antigua and Barbuda,
219,St. Peter Port,Guernsey,British Crown Dependency.
220,St. Pierre,Saint Pierre and Miquelon,Overseas collectivity of France.
221,Stanley,Falkland Islands,British Overseas Territory.
222,Stepanakert,Artsakh,"The self-declared country remains diplomatically unrecognized by UN member states, though Transnistria, South Ossetia, and Abkhazia all recognize it. Claimed in whole by Azerbaijan."
223,Stockholm,Sweden,
224,Sukhumi,Abkhazia,"De facto independent state recognized by Russia, Nauru, Nicaragua, Venezuela, and Syria. Claimed in whole by Georgia as the Autonomous Republic of Abkhazia."
225,Suva,Fiji,
226,Taipei,Taiwan,"Officially the Republic of China, it has been competing for recognition with the People's Republic of China as the sole Chinese government since 1949. Taiwan controls the island of Taiwan and its associated islands, Quemoy, Matsu, the Pratas, and part of the Spratly Islands.[Note 1] Its territory is claimed in whole by the People's Republic of China.[Note 2] The Republic of China participates in the World Health Organization and a number of non-UN international organizations such as the World Trade Organization, the International Olympic Committee and others under a variety of pseudonyms, most commonly Chinese Taipei."
227,Tallinn,Estonia,
228,Tashkent,Uzbekistan,
229,Tbilisi,Georgia,"From 2012 to 2018, Kutaisi served as Georgia's legislative capital. Additionally, Mtskheta is sometimes called an ""ancient capital"" of Georgia.[14][15]"
230,Tegucigalpa,Honduras,Comayagüela is declared in the Honduran Constitution as co-official capital with Tegucigalpa.[16] They have since merged into a single urban area.
231,Comayagüela,Honduras,Comayagüela is declared in the Honduran Constitution as co-official capital with Tegucigalpa.[16] They have since merged into a single urban area.
232,Tehran,Iran,
233,Thimphu,Bhutan,
234,Tirana,Albania,
235,Tiraspol,Transnistria,"De facto independent state, not recognized by any UN-member, but by Abkhazia, South Ossetia, and Artsakh. Claimed in whole by Moldova as the autonomous territorial unit of Administrative-Territorial Units of the Left Bank of the Dniester"
236,Tokyo,Japan,See also: Capital of Japan.
237,Tórshavn,Faroe Islands,Self-governing country within the Kingdom of Denmark.
238,Tripoli,Libya,
239,Tskhinvali,South Ossetia,"De facto independent state recognized by Russia, Nauru, Nicaragua, Venezuela, and Syria. Claimed in whole by Georgia as the Provisional Administration of South Ossetia."
240,Tunis,Tunisia,
241,Ulaanbaatar,Mongolia,
242,Vaduz,Liechtenstein,
243,Valletta,Malta,
244,The Valley,Anguilla,British Overseas Territory.
245,Vatican City,Vatican City,City-state.
246,Victoria,Seychelles,
247,Vienna,Austria,
248,Vientiane,Laos,
249,Vilnius,Lithuania,
250,Warsaw,Poland,Former capitals listed in: Template:Historical capitals of Poland.
251,"Washington, D.C.",United States,The capital of the United States has moved multiple times. See also: National capitals of the United States.
252,Wellington,New Zealand,Since 1865. Wellington is New Zealand's third capital. See also: Capital of New Zealand.
253,West Island,Cocos (Keeling) Islands,External territory of Australia.
254,Willemstad,Curaçao,Self-governing country within the Kingdom of the Netherlands.
255,Windhoek,Namibia,
256,Yaoundé,Cameroon,
257,Yaren (de facto),Nauru,"Nauru has no official capital; however, the government offices are in Yaren."
258,Yerevan,Armenia,
259,Zagreb,Croatia,
